name;category;id
Fuel Valve Cross Feed;OVERHEAD PREPARATION;106
Cockpit Voice Recorder;OVERHEAD PREPARATION;107
FMC Switch;OVERHEAD PREPARATION;108
Flight Director Switches;FORWARD PANEL & PEDESTAL;109
Right Engine Fuel Cutoff Lever;ENGINE START;110
IAS / MACH Indicator;FORWARD PANEL & PEDESTAL;111
Auto Throttle (A/T ARM);FORWARD PANEL & PEDESTAL;112
Altimeter;FORWARD PANEL & PEDESTAL;113
Fuel Flow;FORWARD PANEL & PEDESTAL;114
COMM Radios;FORWARD PANEL & PEDESTAL;115
Standby Gauges;FORWARD PANEL & PEDESTAL;116
Takeoff Warning Horn;FORWARD PANEL & PEDESTAL;117
Isolation Valve;AFTER ENGINE START;118
Speed Brake Lever;FORWARD PANEL & PEDESTAL;119
CDU Display;BEFORE PUSHBACK / READY FOR PUSHBACK;120
EFIS Control Panel;FORWARD PANEL & PEDESTAL;121
Auto Flight Annunciator;FORWARD PANEL & PEDESTAL;122
Anti Collision Lights;BEFORE PUSHBACK / READY FOR PUSHBACK;123
Rudder & Aileron Trim;FORWARD PANEL & PEDESTAL;124
Pre-Departure Briefing;FORWARD PANEL & PEDESTAL;125
APU Generator Switches;BEFORE PUSHBACK / READY FOR PUSHBACK;126
Left Engine Start Switch;ENGINE START;127
Stab Trim;FORWARD PANEL & PEDESTAL;128
Master Caution System;AFTER ENGINE START;129
Engine Bleed Switches;AFTER ENGINE START;130
Parking Brake;FORWARD PANEL & PEDESTAL;131
Altitude Selector;FORWARD PANEL & PEDESTAL;132
Duct Pressure Gauge;ENGINE START;133
SPD REF;FORWARD PANEL & PEDESTAL;134
Engine / Wing Anti Ice;AFTER ENGINE START;135
Probe Heat Switches (A & B);AFTER ENGINE START;136
Right Engine Start Switch (After Return To AUTO);ENGINE START;137
Flaps;FORWARD PANEL & PEDESTAL;138
Transponder;FORWARD PANEL & PEDESTAL;139
APU Bleed Switch;AFTER ENGINE START;140
